City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,oamaru,-45.0784,170.9801,12.99,89,100,2.82,NZ,1706813775
126,krasnokamsk,58.0802,55.7541,-3.91,94,100,2.19,RU,1706813775
127,nuuk,64.1835,-51.7216,-13.66,78,75,3.6,GL,1706813776
128,new plymouth,-39.0667,174.0833,18.23,76,85,6.31,NZ,1706813637
129,longyearbyen,78.2186,15.6401,-10.09,79,75,3.6,SJ,1706813777
130,caconda,-13.7333,15.0667,16.41,97,100,1.37,AO,1706813777
131,tartu,58.3806,26.7251,1.14,83,20,7.72,EE,1706813777
132,mabaruma,8.2,-59.7833,30.05,58,100,3.28,GY,1706813778
133,bikenibeu village,1.3673,173.1241,27.98,94,40,3.09,KI,1706813778
134,constantia,44.1833,28.65,2.61,57,0,4.11,RO,1706813778
135,saipan,15.1355,145.701,24.39,94,100,6.17,MP,1706813779
136,lhokseumawe,5.1801,97.1507,24.89,88,87,1.37,ID,1706813520
137,college,64.8569,-147.8028,-39.4,46,20,2.57,US,1706813779
138,el bolson,-41.9667,-71.5167,28.04,26,100,3.35,AR,1706813780
139,la'ie,21.6477,-157.9253,23.98,91,97,2.22,US,1706813780
140,thompson,55.7435,-97.8558,-11.91,79,75,2.57,CA,1706813780
141,gadzhiyevo,69.2551,33.3362,-0.94,89,100,9.35,RU,1706813781
142,freetown,8.484,-13.2299,26.84,83,87,4.12,SL,1706813781
143,nouadhibou,20.931,-17.0347,28.99,16,0,1.54,MR,1706813781
144,badger,64.8,-147.5333,-39.45,68,20,2.57,US,1706813782
145,cockburn town,21.4612,-71.1419,23.78,61,12,10.14,TC,1706813782
146,saint-philippe,-21.3585,55.7679,24.77,89,92,7.76,RE,1706813782
147,puerto ayora,-0.7393,-90.3518,29.98,70,100,3.4,EC,1706813783
148,namtsy,62.7161,129.6658,-33.36,99,88,1.98,RU,1706813783
149,peace river,56.2501,-117.286,3.17,80,100,2.06,CA,1706813783
150,capela,-10.5033,-37.0528,29.97,58,28,6.43,BR,1706813784
151,sao lourenco do sul,-31.3653,-51.9783,27.23,55,0,4.07,BR,1706813784
152,jiayuguan,39.8167,98.3,-8.89,56,100,3.44,CN,1706813784
153,constitucion,-35.3333,-72.4167,23.23,58,9,7.9,CL,1706813785
154,denizli,37.8402,29.0698,5.19,59,0,0.72,TR,1706813785
155,bamboo flat,11.7,92.7167,26.44,83,48,3.5,IN,1706813785
156,xiuyan,40.2928,123.2744,-15.6,87,5,2.59,CN,1706813786
157,fukuecho,32.6881,128.8419,11.56,78,100,11.61,JP,1706813786
158,san patricio,28.017,-97.5169,24.05,58,34,5.73,US,1706813786
159,mount pearl,47.5166,-52.7813,-1.2,78,75,7.2,CA,1706813584
160,happy valley-goose bay,53.3168,-60.3315,-15.83,39,20,5.14,CA,1706813787
161,nova olimpia,-14.7972,-57.2881,35.61,38,28,2.0,BR,1706813787
162,las heras,-46.5419,-68.9359,27.96,17,100,12.99,AR,1706813487
163,ribeira brava,32.65,-17.0667,21.18,29,41,4.0,PT,1706813788
164,shubarshi,48.5872,57.1869,-7.38,93,100,4.27,KZ,1706813788
165,ojuelos de jalisco,21.8667,-101.5833,18.02,40,99,5.0,MX,1706813788
